r,rdfalpha,rdfbeta,rdfdelta,rdfgamma,rdfmodul,rdf141s54e05,rdf141s54e1,rdf141s55e1,rdf141s53e35
1.53333333,1.22813977,1.46311827,0.813920652,5.24851147,0.24677079,0.884119575,1.06921365,1.15998193,1.11548422
1.55,1.11862398,1.10716533,0.815430763,4.09984153,0.400524103,0.861354719,0.8806244,0.927055856,0.797121499
1.56666667,1.17134217,0.802615134,0.861138593,3.49157954,0.392047722,0.73372682,0.826149993,0.737060559,0.580384373
1.58333333,0.977283567,0.59833025,0.736130337,2.7961967,0.199445029,0.7885355,0.699894507,0.670857696,0.492967901
1.6,1.03027179,0.437494453,0.736854274,2.33590788,0.117923986,0.6564548,0.571459275,0.490052481,0.364827333
1.61666667,1.08087848,0.241042796,0.587826673,2.0507768,0.20032919,0.573908017,0.488884607,0.45739176,0.409682217
1.63333333,1.07298909,0.153684072,0.627006152,1.69052479,0.549886478,0.569196892,0.419956243,0.408917056,0.390755343
1.65,1.01928266,0.1616142,0.46748088,1.41412425,1.04301602,0.433621387,0.391109487,0.360628107,0.434878774
1.66666667,1.06199905,0.115198621,0.431996483,1.38598341,0.944147273,0.436658852,0.413325936,0.410723929,0.495847129
1.68333333,1.01019434,0.0705804823,0.394610571,1.18222308,0.55932155,0.379041084,0.449294388,0.351299654,0.627572097
1.7,1.01211015,0.0622830117,0.449823473,1.16261622,0.346019528,0.43892603,0.482177865,0.5048718,0.847094977
1.71666667,1.03496988,0.0678661256,0.461182937,1.01120527,0.601836544,0.438299463,0.614247634,0.620051975,0.917160478
1.73333333,1.04012547,0.04326874,0.550695163,0.991852657,1.36432652,0.542396945,0.758123003,0.779142882,1.12097714
1.75,0.80816317,0.0359179652,0.605561402,0.875092244,1.74816553,0.609211035,0.829917762,0.897952568,1.34154376
1.76666667,1.005251,0.0288355659,0.779145799,0.92273811,1.36169051,0.993812482,1.19109168,1.20439921,1.64581683
1.78333333,0.904009231,0.0188660706,0.959028927,0.845828832,0.619974941,1.0874129,1.40912408,1.49928665,1.82432818
1.8,0.825617529,0.0679005025,1.17704008,0.77159662,0.473152695,1.3545727,1.74322647,1.76345575,1.83146489
1.81666667,0.867351604,0.0575702984,1.40620813,0.75447391,0.870421924,1.56830439,1.92040135,1.89927621,1.86376057
1.83333333,0.989256747,0.0714042072,1.66610455,0.699166196,1.54233212,1.83605795,2.08123298,2.04341231,1.58022381
